latitude,longitude,historic,start_date,ref:mhs,wikidata,name,heritage,mhs:inscription_date,wikipedia
46.5719,-0.7697,place_of_worship,christian,PA00110287,Q22963134,,,,fr:Église Notre-Dame-de-l'Assomption de Vouvant
46.5997,-0.7941,castle,C16,PA00110064,Q22962933,Château dit La Cressonnière (ancien),3,1930-04-14 ,
46.7812,-1.5634,archaeological_site,megalith,PA00110198,Q22963046,Mégalithe dit La Pierre-des-Farfadets,2,1939-05-31 ,
46.4675,-1.2884,,C18,PA00110086,Q14627594,"Deux ponts du Port-la-Claye sur la rivière Le Lay (également sur communes de La Claye, Lairoux, Saint-Cyr-en-Talmondais)",3,1985-11-20 ,fr:Ponts du Port-la-Claye
46.8531,-1.0054,tower,defensive,PA00110134,Q2265940,Donjon d'Ardelay,3,1927-12-26 ,fr:Château d'Ardelay
46.7125,-1.4972,monastery,monastery,PA00110304,Q22963154,Monastère du Lieu-Dieu (ancien),3,1991-12-16 ,
46.7982,-0.8664,castle,,PA00110095,Q22994805,Château des Echardières,3,1972-07-17 ,fr:Château des Echardières
46.4568,-1.3946,archaeological_site,megalith,PA00110130,Q22962991,Menhir dit des Petites Jaunières,2,1980-12-03 ,
46.846,-0.8326,tower,defensive,PA00110071,Q22962938,Donjon de Châteaumur,3,1979-11-14 ,fr:Donjon de Châteaumur
46.7716,-0.8137,,C16,PA00110204,Q22963051,Logis de Puy-Papin,3,1984-10-11 ,
46.7765,-1.221,castle,,PA00110091,Q22994802,Château (ruines du vieux),3,1962-07-13 ,fr:Château des Essarts (Vendée)
46.4735,-0.78967,,C19,PA85000019,,Moulin de La Roche,,,fr:Moulin de La Roche
46.6509,-0.7425,building,C19,PA85000032,Q22999018,Maison du peintre Félix Lionnet,3,2007-09-13 ,
46.4479,-1.3081,place_of_worship,christian,PA00110085,Q22994779,,2,1875 ,
46.549,-0.714,,C17,PA85000002,Q22998963,Logis de la Cornelière,3,1996-10-22 ,
46.8334,-0.8629,,C19,PA85000008,Q22998199,Réplique de la Santa Casa de la chapelle Notre-Dame de Lorette,3,1997-12-23 ,
46.68,-0.7765,stone,grooves,PA00110078,Q21523470,Polissoir ou pierre à sculpture,2,1926-07-08 ,
46.8242,-0.9844,place_of_worship,christian,PA00110259,Q22963104,Église (à l'exception de la sacristie),3,1984-08-29 ,
46.5526,-0.9981,archaeological_site,megalith,PA00110278,Q22963125,Dolmen dit de La Pierre Folle,2,1968-01-04 ,
46.8379,-0.7761,place_of_worship,christian,PA00110199,Q22963047,,3,1984-08-29 ,
46.8944,-1.0079,,,PA00110137,Q3325878,Moulins à vent du Mont des Alouettes,3,1975-05-27 ,
46.46602,-0.79853,place_of_worship,christian,PA00110101,Q3582086,Église Saint-Jean,2,1906-11-14 ,fr:Église Saint-Jean de Fontenay-le-Comte
46.46628,-0.80058,building,C16,PA00110110,Q22962979,,3,1944-10-16 ,
46.5559,-1.0535,,C19,PA00110245,Q22963090,Marché couvert,3,1985-12-09 ,
46.4897,-1.8047,lighthouse,yes,PA85000049,Q3378441,"Phare de l'Armandèche, situé à la Chaume",2,2012-10-03 ,fr:Phare de l'Armandèche
46.4836,-1.1138,place_of_worship,christian,PA00135563,Q22994853,Église paroissiale,3,1995-02-16 ,
46.8445,-1.4869,,,PA00110158,Q22963013,Ensemble d'habitats défensifs,3,1988-06-02 ,
46.465112,-0.810236,,C17,PA00110098,Q3001746,"Ancien couvent des Tiercelettes, actuellement hôpital",3,1988-05-09 ,fr:Couvent des Tiercelettes
46.8605,-1.1022,,C15,PA00110169,Q22963023,Ancien château,3,1987-03-16 ,
46.8069,-1.0871,castle,C17,PA00110173,Q2260088,Château du Parc Soubise,,,fr:Château du parc Soubise
46.6792,-0.7815,,,PA00110077,Q22994768,Pierre à cupules,2,1926-06-15 ,
46.5395,-0.6444,bridge,,PA00110093,Q22994803,Pont de Fleuriau sur la Vendée (également sur commune de Puy-de-Serre),3,1982-07-12 ,
47.067,-1.2483,archaeological_site,roman_villa,PA85000007,Q22998969,Villa du Mont-Gallien,3,1997-03-18 ,
46.8544,-1.7919,,C12,PA00110312,Q22963161,Ancienne commanderie de templiers de Coudrie,2,1995-01-30 ,
46.4389,-1.3769,wayside_cross,C17,PA00132712,Q3003658,Croix hosannière du cimetière,2,1994-03-04 ,fr:Croix hosannière de La Jonchère
46.6642,-1.4865,monastery,abbey,PA00110211,Q2820782,Abbaye des Fontenelles (ancienne),2,1948-02-13 ,fr:Abbaye des Fontenelles
46.7366,-1.7358,castle,manor,PA00110019,Q22962893,Manoir de la Tuderrière,3,1984-10-08 ,fr:Manoir de la Tuderrière
46.7986,-0.8283,,,PA00110205,Q21523471,Deux polissoirs,2,1889 ,
46.44,-1.3753,place_of_worship,christian,PA00110314,Q3582580,,3,1992-11-20 ,fr:Église Saint-Martin-de-Vertou de La Jonchère
46.5933,-1.0423,castle,C16,PA00110209,Q22963056,Château de l'Aubraye,3,1928-02-01 ,fr:Château de l'Aubraye
46.467024,-0.803104,building,C18,PA00110118,Q3278856,,2,1931-10-28 ,
46.7795,-1.0614,place_of_worship,christian,PA85000052,Q22999057,Église paroissiale Saint-Pierre,3,2013-06-28 ,
46.9511,-1.3037,bridge,,PA00110234,Q22963081,Pont de Boisseau sur la R.N. 137,3,1984-12-21 ,
46.46764,-0.8066,building,C16,PA00110109,Q3146046,,3,1944-12-19 ,fr:Hôtel de la Pérate
46.6727,-1.3277,,C16,PA00125656,Q22969091,Logis de Saint-Mars,3,1993-12-01 ,
46.5491,-1.0527,,,PA00110241,Q22963086,Cimetière protestant,3,1989-02-06 ,
46.5356,-1.0895,castle,manor,PA00110244,Q22963089,Manoir de la Petite-Coudraie,3,1984-10-08 ,
46.4247,-1.6093,monastery,abbey,PA00110149,Q22963004,Abbaye de Lieu-en-Jard ou Lieu-Dieu (ancienne),3,1927-04-12 ,fr:Abbaye royale Notre-Dame de Lieu-Dieu
46.8351,-0.8616,castle,C19,PA00110094,Q21294297,Château de la Flocellière,,,fr:Château de la Flocellière
46.5547,-1.0544,,,PA00110246,Q22963091,Temple protestant,3,1989-02-06 ,
46.9169,-1.909,,,PA00110069,Q1517348,Motte féodale,3,1988-04-05 ,
46.7735,-1.8643,archaeological_site,megalith,PA00110082,Q22994773,Menhir dit La Palissonnière,3,1981-05-14 ,
46.8215,-1.899,archaeological_site,megalith,PA00110274,Q22963119,Menhir dit de Pierre-Levée,2,1926-08-03 ,
46.83,-0.9941,castle,,PA00110133,Q22962993,Château de Boistissandeau,3,1958-01-23 ,fr:Château de Boistissandeau
46.4645,-0.9825,,C16,PA85000009,Q22998202,Ancien prieuré,3,1997-07-02 ,
46.7157,-0.7994,castle,C19,PA85000025,Q22999001,Château du Lac,3,2006-09-19 ,
